Anne,Sexe,CGT,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110+
2013-2014,1,10,0.0007730,0.0008318,0.0008954,0.0009641,0.0010385,0.0011190,0.0012061,0.0013004,0.0014026,0.0015133,0.0016333,0.0017633,0.0019044,0.0020574,0.0022235,0.0024037,0.0025995,0.0028121,0.0030431,0.0032942,0.0035684,0.0038704,0.0042047,0.0045752,0.0049863,0.0054431,0.0059513,0.0065174,0.0071490,0.0078544,0.0086435,0.0095274,0.0105189,0.0116326,0.0128855,0.0142970,0.0158897,0.0176896,0.0197267,0.0220362,0.0246427,0.0275536,0.0307863,0.0343740,0.0383534,0.0427649,0.0476527,0.0530657,0.0590578,0.0656883,0.0730225,0.0811330,0.0900998,0.1000117,0.1109673,0.1230763,0.1364611,0.1512586,0.1676225,0.1857254,0.2051991,0.2256286,0.2471766,0.2697846,0.2887646,0.3063890,0.3301084,0.3546882,0.3800269,0.4060075,0.4324993,0.4593603,0.4864403,0.5135838,0.5406337,0.5674351,0.5938385,0.6197032,0.6449002,0.9970039,2.0000000
2013-2014,2,10,0.0003334,0.0003743,0.0004192,0.0004683,0.0005221,0.0005806,0.0006443,0.0007132,0.0007878,0.0008681,0.0009545,0.0010470,0.0011458,0.0012510,0.0013628,0.0014812,0.0016061,0.0017376,0.0018755,0.0020198,0.0021727,0.0023401,0.0025265,0.0027343,0.0029662,0.0032256,0.0035160,0.0038418,0.0042078,0.0046199,0.0050845,0.0056093,0.0062032,0.0068767,0.0076418,0.0085127,0.0095060,0.0106412,0.0119413,0.0134334,0.0151380,0.0170633,0.0192252,0.0216517,0.0243746,0.0274291,0.0308548,0.0346960,0.0390024,0.0438297,0.0492406,0.0553054,0.0621036,0.0697248,0.0782701,0.0878545,0.0986083,0.1106801,0.1242398,0.1394823,0.1563430,0.1746019,0.1942427,0.2152676,0.2366657,0.2588164,0.2831442,0.3087667,0.3355860,0.3634767,0.3922868,0.4218408,0.4519425,0.4823809,0.5129349,0.5433802,0.5734956,0.6030692,0.6319044,0.9910099,2.0000000
2013-2014,1,11,0.0007969,0.0008351,0.0008770,0.0009229,0.0009735,0.0010290,0.0010901,0.0011573,0.0012313,0.0013129,0.0014030,0.0015025,0.0016126,0.0017346,0.0018699,0.0020201,0.0021871,0.0023732,0.0025807,0.0028125,0.0030710,0.0033579,0.0036759,0.0040287,0.0044204,0.0048558,0.0053403,0.0058800,0.0064818,0.0071536,0.0079043,0.0087441,0.0096846,0.0107390,0.0119225,0.0132524,0.0147486,0.0164338,0.0183343,0.0204803,0.0228930,0.0255787,0.0285521,0.0318408,0.0354752,0.0394879,0.0439147,0.0487944,0.0541690,0.0600845,0.0665907,0.0737418,0.0815968,0.0902201,0.0996822,0.1100596,0.1214367,0.1339056,0.1475678,0.1625352,0.1784526,0.1950356,0.2125271,0.2309062,0.2499190,0.2691905,0.2889092,0.3094265,0.3306930,0.3526479,0.3752198,0.3983274,0.4218801,0.4457793,0.4699203,0.4941936,0.5184872,0.5426885,0.5666865,0.9531541,2.0000000
2013-2014,2,11,0.0004720,0.0004983,0.0005270,0.0005584,0.0005929,0.0006307,0.0006722,0.0007179,0.0007681,0.0008235,0.0008846,0.0009521,0.0010267,0.0011093,0.0012009,0.0013026,0.0014157,0.0015416,0.0016820,0.0018387,0.0020132,0.0022062,0.0024189,0.0026534,0.0029122,0.0031979,0.0035134,0.0038620,0.0042474,0.0046737,0.0051455,0.0056679,0.0062466,0.0068880,0.0075994,0.0083887,0.0092651,0.0102386,0.0113206,0.0125239,0.0138646,0.0153624,0.0170387,0.0189167,0.0210228,0.0233872,0.0260443,0.0290339,0.0324013,0.0361989,0.0404869,0.0453352,0.0508243,0.0570480,0.0641155,0.0721544,0.0813142,0.0917710,0.1037328,0.1174468,0.1328625,0.1497291,0.1680190,0.1877500,0.2083496,0.2297460,0.2526573,0.2769912,0.3026827,0.3296376,0.3577326,0.3868158,0.4167087,0.4472107,0.4781033,0.5091561,0.5401338,0.5708032,0.6009397,0.9741957,2.0000000
2013-2014,1,12,0.0006282,0.0006788,0.0007342,0.0007948,0.0008612,0.0009339,0.0010138,0.0011014,0.0011978,0.0013037,0.0014203,0.0015487,0.0016904,0.0018466,0.0020191,0.0022098,0.0024206,0.0026541,0.0029127,0.0031994,0.0035168,0.0038665,0.0042511,0.0046739,0.0051389,0.0056501,0.0062124,0.0068307,0.0075107,0.0082586,0.0090812,0.0099861,0.0109815,0.0120766,0.0132814,0.0146072,0.0160661,0.0176718,0.0194393,0.0213851,0.0235316,0.0259090,0.0285484,0.0314812,0.0347430,0.0383741,0.0424200,0.0469328,0.0519717,0.0576042,0.0639078,0.0709711,0.0788962,0.0878009,0.0978215,0.1091163,0.1218698,0.1362981,0.1526549,0.1712406,0.1915995,0.2131849,0.2362367,0.2607237,0.2870523,0.3143774,0.3416466,0.3699457,0.3991135,0.4289656,0.4592988,0.4898963,0.5205334,0.5509846,0.5810296,0.6104601,0.6390848,0.6667343,0.6932644,1.0249702,2.0000000
2013-2014,2,12,0.0003765,0.0004012,0.0004285,0.0004588,0.0004924,0.0005296,0.0005710,0.0006171,0.0006684,0.0007257,0.0007898,0.0008615,0.0009420,0.0010323,0.0011340,0.0012486,0.0013780,0.0015244,0.0016903,0.0018787,0.0020912,0.0023277,0.0025889,0.0028772,0.0031952,0.0035456,0.0039314,0.0043558,0.0048224,0.0053349,0.0058974,0.0065143,0.0071902,0.0079304,0.0087401,0.0096254,0.0105924,0.0116479,0.0127992,0.0140540,0.0154291,0.0169540,0.0186558,0.0205575,0.0226853,0.0250695,0.0277446,0.0307504,0.0341328,0.0379447,0.0422476,0.0471125,0.0526224,0.0588739,0.0659801,0.0740741,0.0833127,0.0938814,0.1060012,0.1199361,0.1356222,0.1527755,0.1713605,0.1913920,0.2116538,0.2325892,0.2558746,0.2805900,0.3066630,0.3339913,0.3624423,0.3918549,0.4220415,0.4527929,0.4838833,0.5150766,0.5461340,0.5768204,0.6069120,0.9774946,2.0000000
2013-2014,1,13,0.0008029,0.0008569,0.0009153,0.0009785,0.0010469,0.0011211,0.0012015,0.0012888,0.0013836,0.0014867,0.0015988,0.0017208,0.0018536,0.0019984,0.0021564,0.0023288,0.0025171,0.0027230,0.0029483,0.0031948,0.0034651,0.0037617,0.0040876,0.0044460,0.0048404,0.0052750,0.0057541,0.0062828,0.0068667,0.0075123,0.0082265,0.0090174,0.0098942,0.0108669,0.0119471,0.0131479,0.0144840,0.0159720,0.0176310,0.0194824,0.0215477,0.0238470,0.0264052,0.0292532,0.0324260,0.0359631,0.0399091,0.0443148,0.0492378,0.0547436,0.0609071,0.0678136,0.0755612,0.0842625,0.0940472,0.1050656,0.1174917,0.1315288,0.1474145,0.1654284,0.1850687,0.2057980,0.2279059,0.2513578,0.2746481,0.2981159,0.3238613,0.3506470,0.3783388,0.4067799,0.4357947,0.4651923,0.4947715,0.5243266,0.5536528,0.5825520,0.6108384,0.6383423,0.6649148,1.0088058,2.0000000
2013-2014,2,13,0.0003913,0.0004114,0.0004339,0.0004591,0.0004871,0.0005185,0.0005537,0.0005930,0.0006371,0.0006866,0.0007422,0.0008048,0.0008753,0.0009550,0.0010451,0.0011473,0.0012634,0.0013954,0.0015461,0.0017184,0.0019137,0.0021313,0.0023715,0.0026363,0.0029281,0.0032493,0.0036024,0.0039903,0.0044161,0.0048828,0.0053940,0.0059535,0.0065651,0.0072331,0.0079619,0.0087565,0.0096218,0.0105634,0.0115868,0.0126984,0.0139155,0.0152713,0.0167957,0.0185127,0.0204501,0.0226402,0.0251208,0.0279359,0.0311371,0.0347851,0.0389511,0.0437193,0.0491898,0.0554811,0.0627351,0.0711218,0.0808458,0.0921549,0.1053509,0.1208033,0.1385343,0.1582279,0.1797898,0.2032459,0.2283018,0.2546054,0.2823959,0.3118988,0.3429619,0.3753857,0.4089254,0.4432978,0.4781894,0.5132675,0.5481925,0.5826307,0.6162669,0.6488153,0.6800284,1.0191115,2.0000000
2013-2014,1,24,0.0006552,0.0006842,0.0007166,0.0007531,0.0007938,0.0008395,0.0008906,0.0009478,0.0010119,0.0010838,0.0011645,0.0012551,0.0013571,0.0014721,0.0016019,0.0017488,0.0019151,0.0021040,0.0023189,0.0025639,0.0028411,0.0031497,0.0034905,0.0038666,0.0042815,0.0047391,0.0052436,0.0057994,0.0064118,0.0070860,0.0078281,0.0086447,0.0095429,0.0105304,0.0116159,0.0128087,0.0141188,0.0155575,0.0171367,0.0188699,0.0207790,0.0228982,0.0252612,0.0278988,0.0308465,0.0341446,0.0378393,0.0419835,0.0466382,0.0518734,0.0577701,0.0644220,0.0719380,0.0804448,0.0900908,0.1010498,0.1135269,0.1277646,0.1440516,0.1627334,0.1836763,0.2064352,0.2309454,0.2571745,0.2846188,0.3127555,0.3419082,0.3722704,0.4036419,0.4357917,0.4684640,0.5013857,0.5342754,0.5668528,0.5988484,0.6300114,0.6601178,0.6889756,0.7164287,1.0386480,2.0000000
