Geography;Sex;Age group (5,6);2010;2011;2012;2013
Newfoundland and Labrador;Females;7 years;2531;2444;2418;2464
Newfoundland and Labrador;Females;8 years;2483;2560;2476;2454
Newfoundland and Labrador;Females;9 years;2444;2500;2597;2508
Newfoundland and Labrador;Females;10 years;2646;2481;2536;2626
Newfoundland and Labrador;Females;11 years;2623;2637;2502;2550
Newfoundland and Labrador;Females;12 years;2667;2642;2656;2519
Newfoundland and Labrador;Females;13 years;2765;2699;2664;2672
Newfoundland and Labrador;Females;14 years;2858;2786;2711;2677
Newfoundland and Labrador;Females;15 years;2890;2883;2784;2711
Newfoundland and Labrador;Females;16 years;2928;2905;2882;2771
Newfoundland and Labrador;Females;17 years;3031;2941;2891;2870
Newfoundland and Labrador;Females;18 years;3141;3060;2906;2870
Newfoundland and Labrador;Females;19 years;3248;3140;3034;2889
Newfoundland and Labrador;Females;20 years;3458;3246;3118;3026
Newfoundland and Labrador;Females;21 years;3158;3380;3228;3088
Newfoundland and Labrador;Females;22 years;3128;3122;3348;3211
Newfoundland and Labrador;Females;23 years;3044;3065;3091;3315
Newfoundland and Labrador;Females;24 years;3158;3014;3042;3055
Newfoundland and Labrador;Females;25 years;3102;3135;3006;3014
Newfoundland and Labrador;Females;26 years;3102;3116;3123;2990
Newfoundland and Labrador;Females;27 years;3031;3133;3140;3134
Newfoundland and Labrador;Females;28 years;3046;3104;3165;3150
Newfoundland and Labrador;Females;29 years;3057;3108;3130;3198
Newfoundland and Labrador;Females;30 years;3154;3120;3148;3150
Newfoundland and Labrador;Females;31 years;3051;3189;3164;3175
Newfoundland and Labrador;Females;32 years;3238;3121;3243;3224
Newfoundland and Labrador;Females;33 years;3285;3284;3156;3279
Newfoundland and Labrador;Females;34 years;3273;3333;3340;3201
Newfoundland and Labrador;Females;35 years;3449;3330;3382;3387
Newfoundland and Labrador;Females;36 years;3470;3460;3344;3394
Newfoundland and Labrador;Females;37 years;3595;3520;3491;3360
Newfoundland and Labrador;Females;38 years;3773;3618;3552;3517
Newfoundland and Labrador;Females;39 years;3788;3789;3640;3555
Newfoundland and Labrador;Females;40 years;3849;3836;3802;3651
Newfoundland and Labrador;Females;41 years;3821;3873;3851;3814
Newfoundland and Labrador;Females;42 years;4014;3855;3871;3846
Newfoundland and Labrador;Females;43 years;4082;4023;3850;3867
Newfoundland and Labrador;Females;44 years;4234;4079;4028;3858
Newfoundland and Labrador;Females;45 years;4418;4240;4083;4035
Newfoundland and Labrador;Females;46 years;4324;4374;4255;4097
Newfoundland and Labrador;Females;47 years;4335;4311;4399;4278
Newfoundland and Labrador;Females;48 years;4281;4342;4343;4430
Newfoundland and Labrador;Females;49 years;4452;4266;4363;4362
Newfoundland and Labrador;Females;50 years;4257;4419;4271;4370
Newfoundland and Labrador;Females;51 years;4377;4285;4420;4273
Newfoundland and Labrador;Females;52 years;4395;4408;4284;4413
Newfoundland and Labrador;Females;53 years;4318;4388;4394;4264
Newfoundland and Labrador;Females;54 years;4298;4283;4373;4378
Newfoundland and Labrador;Females;55 years;4300;4306;4271;4362
Newfoundland and Labrador;Females;56 years;4316;4317;4293;4257
Newfoundland and Labrador;Females;57 years;4154;4272;4310;4287
Newfoundland and Labrador;Females;58 years;4127;4154;4268;4303
Newfoundland and Labrador;Females;59 years;4102;4128;4158;4267
Newfoundland and Labrador;Females;60 years;3941;4083;4131;4159
Newfoundland and Labrador;Females;61 years;3931;3950;4080;4122
Newfoundland and Labrador;Females;62 years;3753;3931;3947;4079
Newfoundland and Labrador;Females;63 years;3810;3747;3922;3933
Newfoundland and Labrador;Females;64 years;3685;3796;3731;3902
Newfoundland and Labrador;Females;65 years;2999;3623;3776;3711
Newfoundland and Labrador;Females;66 years;2887;3024;3599;3749
Newfoundland and Labrador;Females;67 years;2782;2859;2995;3559
Newfoundland and Labrador;Females;68 years;2465;2740;2829;2956
Newfoundland and Labrador;Females;69 years;2280;2434;2693;2776
Newfoundland and Labrador;Females;70 years;2157;2262;2391;2642
Newfoundland and Labrador;Females;71 years;2173;2138;2222;2344
