Geography;Sex;Age group (5,6);2010;2011;2012;2013
Nova Scotia;Males;100 years and over;0;24;27;32
Nova Scotia;Females;0 years;4303;4322;4219;4190
Nova Scotia;Females;1 year;4331;4228;4270;4166
Nova Scotia;Females;2 years;4413;4322;4193;4228
Nova Scotia;Females;3 years;4161;4350;4306;4168
Nova Scotia;Females;4 years;4223;4176;4348;4289
Nova Scotia;Females;5 years;4175;4202;4188;4342
Nova Scotia;Females;6 years;4391;4217;4213;4176
Nova Scotia;Females;7 years;4279;4361;4217;4204
Nova Scotia;Females;8 years;4412;4290;4363;4207
Nova Scotia;Females;9 years;4426;4437;4301;4367
Nova Scotia;Females;10 years;4853;4462;4439;4301
Nova Scotia;Females;11 years;4727;4809;4460;4428
Nova Scotia;Females;12 years;4868;4774;4796;4453
Nova Scotia;Females;13 years;4968;4881;4754;4780
Nova Scotia;Females;14 years;5449;5024;4887;4752
Nova Scotia;Females;15 years;5368;5424;5069;4917
Nova Scotia;Females;16 years;5574;5417;5507;5098
Nova Scotia;Females;17 years;5712;5626;5475;5553
Nova Scotia;Females;18 years;5952;5756;5715;5553
Nova Scotia;Females;19 years;6327;6074;5895;5835
Nova Scotia;Females;20 years;6478;6363;6143;5953
Nova Scotia;Females;21 years;6305;6472;6401;6146
Nova Scotia;Females;22 years;6123;6278;6449;6328
Nova Scotia;Females;23 years;5993;6006;6190;6312
Nova Scotia;Females;24 years;5811;5913;5921;6054
Nova Scotia;Females;25 years;5721;5716;5862;5838
Nova Scotia;Females;26 years;5597;5619;5675;5778
Nova Scotia;Females;27 years;5625;5537;5596;5628
Nova Scotia;Females;28 years;5557;5644;5533;5545
Nova Scotia;Females;29 years;5795;5590;5649;5501
Nova Scotia;Females;30 years;5885;5773;5580;5639
Nova Scotia;Females;31 years;5861;5889;5771;5573
Nova Scotia;Females;32 years;5744;5907;5887;5744
Nova Scotia;Females;33 years;5674;5740;5925;5867
Nova Scotia;Females;34 years;5893;5765;5753;5902
Nova Scotia;Females;35 years;5908;5907;5770;5734
Nova Scotia;Females;36 years;6044;5938;5891;5733
Nova Scotia;Females;37 years;6083;6108;5928;5865
Nova Scotia;Females;38 years;6374;6097;6096;5895
Nova Scotia;Females;39 years;6639;6396;6092;6055
Nova Scotia;Females;40 years;6382;6603;6371;6046
Nova Scotia;Females;41 years;6296;6410;6591;6345
Nova Scotia;Females;42 years;6511;6319;6390;6572
Nova Scotia;Females;43 years;6594;6511;6296;6362
Nova Scotia;Females;44 years;7059;6599;6490;6259
Nova Scotia;Females;45 years;7802;7086;6562;6462
Nova Scotia;Females;46 years;8029;7758;7068;6543
Nova Scotia;Females;47 years;8083;7987;7736;7055
Nova Scotia;Females;48 years;8105;8064;7971;7713
Nova Scotia;Females;49 years;8243;8092;8059;7955
Nova Scotia;Females;50 years;7933;8212;8081;8058
Nova Scotia;Females;51 years;7932;7965;8194;8073
Nova Scotia;Females;52 years;7976;7946;7952;8187
Nova Scotia;Females;53 years;7778;7956;7943;7946
Nova Scotia;Females;54 years;7653;7740;7936;7929
Nova Scotia;Females;55 years;7580;7636;7727;7921
Nova Scotia;Females;56 years;7463;7574;7613;7701
Nova Scotia;Females;57 years;7064;7393;7556;7600
Nova Scotia;Females;58 years;6838;7073;7365;7528
Nova Scotia;Females;59 years;6842;6822;7037;7330
Nova Scotia;Females;60 years;6574;6820;6795;7010
Nova Scotia;Females;61 years;6651;6592;6795;6770
Nova Scotia;Females;62 years;6904;6654;6564;6764
Nova Scotia;Females;63 years;7016;6846;6620;6538
Nova Scotia;Females;64 years;5604;6874;6813;6589
Nova Scotia;Females;65 years;5195;5660;6828;6772
Nova Scotia;Females;66 years;5101;5162;5603;6770
Nova Scotia;Females;67 years;5014;5034;5116;5550
Nova Scotia;Females;68 years;4591;4911;4981;5063
Nova Scotia;Females;69 years;4268;4519;4843;4913
Nova Scotia;Females;70 years;4014;4217;4477;4801
Nova Scotia;Females;71 years;3995;3969;4164;4423
Nova Scotia;Females;72 years;3697;3888;3917;4108
Nova Scotia;Females;73 years;3523;3634;3820;3848
Nova Scotia;Females;74 years;3280;3439;3563;3750
Nova Scotia;Females;75 years;3200;3189;3349;3471
Nova Scotia;Females;76 years;3160;3121;3114;3272
Nova Scotia;Females;77 years;3070;3040;3023;3019
Nova Scotia;Females;78 years;2982;2951;2913;2895
Nova Scotia;Females;79 years;2903;2865;2827;2790
Nova Scotia;Females;80 years;2582;2766;2754;2715
Nova Scotia;Females;81 years;2502;2484;2652;2642
Nova Scotia;Females;82 years;2403;2357;2371;2532
Nova Scotia;Females;83 years;2246;2273;2239;2253
Nova Scotia;Females;84 years;2152;2087;2147;2115
Nova Scotia;Females;85 years;1920;2005;1963;2017
Nova Scotia;Females;86 years;1813;1764;1871;1831
Nova Scotia;Females;87 years;1658;1640;1619;1718
Nova Scotia;Females;88 years;1663;1505;1488;1471
Nova Scotia;Females;89 years;1377;1476;1357;1342
Nova Scotia;Females;90 years;1282;1217;1316;1210
Nova Scotia;Females;91 years;943;1090;1055;1141
Nova Scotia;Females;92 years;780;793;937;906
Nova Scotia;Females;93 years;643;658;671;792
Nova Scotia;Females;94 years;507;530;544;555
Nova Scotia;Females;95 years;373;422;394;403
Nova Scotia;Females;96 years;283;318;318;297
Nova Scotia;Females;97 years;219;227;232;232
Nova Scotia;Females;98 years;135;158;165;168
Nova Scotia;Females;99 years;98;112;115;120
Nova Scotia;Females;100 years and over;201;189;218;242
New Brunswick;Males;0 years;3662;3627;3554;3495
New Brunswick;Males;1 year;3832;3634;3594;3507
New Brunswick;Males;2 years;3829;3849;3631;3568
New Brunswick;Males;3 years;3695;3845;3850;3618
New Brunswick;Males;4 years;3622;3728;3868;3853
New Brunswick;Males;5 years;3652;3675;3772;3898
New Brunswick;Males;6 years;3707;3681;3718;3792
New Brunswick;Males;7 years;3727;3730;3716;3737
New Brunswick;Males;8 years;3783;3748;3778;3758
New Brunswick;Males;9 years;3812;3814;3795;3803
New Brunswick;Males;10 years;4144;3848;3847;3820
New Brunswick;Males;11 years;4133;4138;3881;3881
New Brunswick;Males;12 years;4248;4138;4154;3908
New Brunswick;Males;13 years;4380;4279;4157;4170
New Brunswick;Males;14 years;4453;4391;4304;4164
New Brunswick;Males;15 years;4652;4506;4414;4314
New Brunswick;Males;16 years;4734;4679;4536;4409
New Brunswick;Males;17 years;4905;4774;4699;4553
New Brunswick;Males;18 years;4859;4936;4821;4746
New Brunswick;Males;19 years;5134;4960;4977;4855
New Brunswick;Males;20 years;5206;5180;4970;4956
New Brunswick;Males;21 years;5048;5143;5135;4896
New Brunswick;Males;22 years;4885;4955;5052;5037
New Brunswick;Males;23 years;4812;4843;4864;4917
New Brunswick;Males;24 years;4729;4796;4744;4710
New Brunswick;Males;25 years;4588;4636;4687;4589
New Brunswick;Males;26 years;4628;4610;4566;4555
New Brunswick;Males;27 years;4705;4653;4553;4438
New Brunswick;Males;28 years;4673;4746;4609;4446
New Brunswick;Males;29 years;4498;4701;4743;4498
New Brunswick;Males;30 years;4504;4486;4705;4676
New Brunswick;Males;31 years;4376;4464;4504;4658
New Brunswick;Males;32 years;4461;4375;4478;4480
New Brunswick;Males;33 years;4697;4465;4391;4465
New Brunswick;Males;34 years;4639;4692;4487;4396
New Brunswick;Males;35 years;4624;4686;4711;4471
New Brunswick;Males;36 years;4673;4709;4722;4708
New Brunswick;Males;37 years;4953;4721;4731;4709
New Brunswick;Males;38 years;5189;4983;4734;4702
New Brunswick;Males;39 years;5094;5191;4994;4716
New Brunswick;Males;40 years;5101;5120;5190;4964
New Brunswick;Males;41 years;5020;5118;5118;5172
New Brunswick;Males;42 years;5188;5054;5128;5094
New Brunswick;Males;43 years;5225;5175;5046;5077
New Brunswick;Males;44 years;5605;5270;5159;5021
New Brunswick;Males;45 years;6021;5605;5246;5129
New Brunswick;Males;46 years;6215;5977;5609;5229
New Brunswick;Males;47 years;6346;6225;5973;5595
New Brunswick;Males;48 years;6082;6324;6231;5972
New Brunswick;Males;49 years;6140;6128;6311;6218
New Brunswick;Males;50 years;6097;6151;6114;6295
New Brunswick;Males;51 years;5980;6124;6146;6102
New Brunswick;Males;52 years;6128;6021;6105;6123
New Brunswick;Males;53 years;6177;6149;6000;6072
New Brunswick;Males;54 years;5938;6158;6133;5980
New Brunswick;Males;55 years;5951;5955;6144;6123
New Brunswick;Males;56 years;5920;5953;5940;6106
New Brunswick;Males;57 years;5588;5872;5940;5929
New Brunswick;Males;58 years;5457;5604;5864;5911
New Brunswick;Males;59 years;5307;5436;5566;5814
New Brunswick;Males;60 years;5405;5292;5397;5513
New Brunswick;Males;61 years;5414;5410;5241;5342
New Brunswick;Males;62 years;5376;5390;5345;5177
New Brunswick;Males;63 years;5312;5342;5310;5263
New Brunswick;Males;64 years;4381;5201;5266;5231
New Brunswick;Males;65 years;4008;4392;5131;5188
New Brunswick;Males;66 years;3858;3971;4340;5065
New Brunswick;Males;67 years;3784;3797;3926;4290
New Brunswick;Males;68 years;3461;3703;3751;3873
New Brunswick;Males;69 years;3304;3419;3646;3695
New Brunswick;Males;70 years;2972;3215;3362;3592
New Brunswick;Males;71 years;2862;2918;3147;3292
New Brunswick;Males;72 years;2675;2788;2852;3076
New Brunswick;Males;73 years;2410;2608;2719;2782
New Brunswick;Males;74 years;2344;2348;2535;2640
New Brunswick;Males;75 years;2034;2248;2269;2452
New Brunswick;Males;76 years;1986;1997;2168;2190
New Brunswick;Males;77 years;1924;1891;1913;2081
New Brunswick;Males;78 years;1956;1855;1818;1840
New Brunswick;Males;79 years;1662;1839;1764;1732
New Brunswick;Males;80 years;1502;1572;1730;1658
New Brunswick;Males;81 years;1348;1448;1485;1633
New Brunswick;Males;82 years;1311;1263;1362;1398
New Brunswick;Males;83 years;1069;1172;1168;1260
New Brunswick;Males;84 years;1063;1007;1085;1081
New Brunswick;Males;85 years;967;957;923;993
New Brunswick;Males;86 years;822;831;857;827
New Brunswick;Males;87 years;675;716;743;767
New Brunswick;Males;88 years;632;583;614;636
New Brunswick;Males;89 years;471;545;502;527
New Brunswick;Males;90 years;365;386;456;419
New Brunswick;Males;91 years;310;323;332;391
New Brunswick;Males;92 years;234;249;258;264
New Brunswick;Males;93 years;159;193;208;216
New Brunswick;Males;94 years;111;113;140;150
New Brunswick;Males;95 years;86;89;70;87
New Brunswick;Males;96 years;54;68;57;45
New Brunswick;Males;97 years;35;37;41;35
New Brunswick;Males;98 years;20;23;23;26
New Brunswick;Males;99 years;9;10;15;15
New Brunswick;Males;100 years and over;31;24;22;24
New Brunswick;Females;0 years;3661;3543;3457;3397
New Brunswick;Females;1 year;3580;3625;3601;3492
New Brunswick;Females;2 years;3536;3560;3669;3623
New Brunswick;Females;3 years;3531;3558;3579;3680
New Brunswick;Females;4 years;3439;3515;3576;3579
New Brunswick;Females;5 years;3339;3483;3521;3559
New Brunswick;Females;6 years;3591;3390;3491;3518
New Brunswick;Females;7 years;3581;3590;3383;3474
New Brunswick;Females;8 years;3533;3600;3601;3388
New Brunswick;Females;9 years;3633;3549;3607;3601
New Brunswick;Females;10 years;3798;3630;3555;3606
New Brunswick;Females;11 years;3726;3782;3656;3568
New Brunswick;Females;12 years;4013;3739;3815;3679
New Brunswick;Females;13 years;3895;4012;3766;3838
New Brunswick;Females;14 years;4146;3933;4047;3790
New Brunswick;Females;15 years;4335;4154;3947;4046
New Brunswick;Females;16 years;4546;4354;4173;3954
New Brunswick;Females;17 years;4597;4570;4344;4156
New Brunswick;Females;18 years;4681;4653;4562;4341
New Brunswick;Females;19 years;4855;4718;4670;4561
New Brunswick;Females;20 years;4830;4832;4703;4642
New Brunswick;Females;21 years;4585;4782;4772;4631
New Brunswick;Females;22 years;4464;4521;4699;4681
New Brunswick;Females;23 years;4251;4321;4410;4576
New Brunswick;Females;24 years;4423;4222;4257;4319
New Brunswick;Females;25 years;4385;4373;4163;4146
New Brunswick;Females;26 years;4427;4364;4337;4068
New Brunswick;Females;27 years;4484;4423;4324;4254
New Brunswick;Females;28 years;4318;4529;4401;4269
New Brunswick;Females;29 years;4534;4361;4511;4357
New Brunswick;Females;30 years;4536;4509;4361;4475
New Brunswick;Females;31 years;4376;4510;4513;4345
New Brunswick;Females;32 years;4524;4392;4514;4507
New Brunswick;Females;33 years;4885;4541;4386;4497
New Brunswick;Females;34 years;4735;4850;4566;4393
New Brunswick;Females;35 years;4972;4800;4866;4579
New Brunswick;Females;36 years;4902;5001;4817;4863
New Brunswick;Females;37 years;4986;4948;5016;4821
New Brunswick;Females;38 years;5074;5024;4974;5035
New Brunswick;Females;39 years;5290;5093;5043;4968
New Brunswick;Females;40 years;5124;5312;5104;5058
New Brunswick;Females;41 years;5111;5155;5341;5110
New Brunswick;Females;42 years;5201;5140;5181;5337
New Brunswick;Females;43 years;5384;5216;5155;5179
New Brunswick;Females;44 years;5832;5446;5235;5158
New Brunswick;Females;45 years;6281;5848;5445;5229
New Brunswick;Females;46 years;6301;6295;5832;5432
New Brunswick;Females;47 years;6268;6325;6295;5827
New Brunswick;Females;48 years;6489;6300;6299;6276
New Brunswick;Females;49 years;6343;6481;6284;6291
New Brunswick;Females;50 years;6374;6346;6471;6275
New Brunswick;Females;51 years;6084;6351;6343;6462
New Brunswick;Females;52 years;6338;6121;6363;6348
New Brunswick;Females;53 years;6285;6297;6132;6370
New Brunswick;Females;54 years;5920;6250;6305;6138
New Brunswick;Females;55 years;6175;5924;6254;6298
New Brunswick;Females;56 years;5820;6112;5918;6249
New Brunswick;Females;57 years;5834;5808;6107;5912
New Brunswick;Females;58 years;5606;5794;5801;6091
New Brunswick;Females;59 years;5385;5562;5773;5778
New Brunswick;Females;60 years;5423;5378;5537;5741
New Brunswick;Females;61 years;5408;5379;5355;5508
New Brunswick;Females;62 years;5353;5382;5337;5317
New Brunswick;Females;63 years;5397;5312;5341;5292
New Brunswick;Females;64 years;4383;5279;5266;5293
New Brunswick;Females;65 years;4024;4403;5248;5234
New Brunswick;Females;66 years;4056;4018;4367;5206
New Brunswick;Females;67 years;3699;3981;3984;4333
New Brunswick;Females;68 years;3555;3672;3956;3958
New Brunswick;Females;69 years;3554;3530;3642;3922
New Brunswick;Females;70 years;3156;3463;3483;3597
New Brunswick;Females;71 years;3125;3154;3400;3425
New Brunswick;Females;72 years;2803;3079;3101;3347
New Brunswick;Females;73 years;2686;2751;3004;3029
New Brunswick;Females;74 years;2657;2658;2689;2939
New Brunswick;Females;75 years;2635;2597;2589;2623
New Brunswick;Females;76 years;2456;2571;2532;2526
New Brunswick;Females;77 years;2424;2409;2501;2466
New Brunswick;Females;78 years;2461;2366;2337;2427
New Brunswick;Females;79 years;2188;2367;2293;2267
New Brunswick;Females;80 years;2099;2124;2290;2217
New Brunswick;Females;81 years;1998;2022;2058;2218
New Brunswick;Females;82 years;2064;1909;1938;1972
New Brunswick;Females;83 years;1834;1928;1823;1852
New Brunswick;Females;84 years;1753;1727;1824;1726
New Brunswick;Females;85 years;1624;1629;1604;1694
New Brunswick;Females;86 years;1462;1484;1507;1485
New Brunswick;Females;87 years;1401;1336;1374;1396
New Brunswick;Females;88 years;1276;1273;1216;1251
New Brunswick;Females;89 years;1050;1121;1141;1091
New Brunswick;Females;90 years;927;921;990;1007
New Brunswick;Females;91 years;759;790;797;857
New Brunswick;Females;92 years;605;629;686;694
New Brunswick;Females;93 years;487;506;526;574
New Brunswick;Females;94 years;353;386;422;439
New Brunswick;Females;95 years;275;255;313;343
New Brunswick;Females;96 years;212;185;192;236
New Brunswick;Females;97 years;148;151;135;140
New Brunswick;Females;98 years;110;113;109;98
New Brunswick;Females;99 years;117;70;82;79
New Brunswick;Females;100 years and over;62;118;136;158
Quebec;Males;0 years;44768;45237;45119;45451
Quebec;Males;1 year;45309;44803;45623;45473
Quebec;Males;2 years;43972;45192;45261;46018
Quebec;Males;3 years;43181;44406;45610;45648
Quebec;Males;4 years;40844;43211;44772;45934
Quebec;Males;5 years;39397;41359;43526;45098
Quebec;Males;6 years;39374;39812;41675;43843
Quebec;Males;7 years;38626;39596;40081;41940
Quebec;Males;8 years;39255;38980;39816;40294
Quebec;Males;9 years;39599;39366;39214;39989
Quebec;Males;10 years;40560;39840;39580;39434
Quebec;Males;11 years;40451;40595;40067;39788
Quebec;Males;12 years;41940;40744;40830;40308
Quebec;Males;13 years;44772;42275;40973;41054
Quebec;Males;14 years;46610;44777;42501;41186
Quebec;Males;15 years;48137;46854;45007;42665
Quebec;Males;16 years;49437;48359;47126;45243
Quebec;Males;17 years;50591;49740;48623;47356
Quebec;Males;18 years;52547;51120;50388;49349
Quebec;Males;19 years;54921;53481;52332;51648
Quebec;Males;20 years;54696;55579;54431;53226
Quebec;Males;21 years;51912;55065;56248;55015
Quebec;Males;22 years;49547;52634;55744;56880
Quebec;Males;23 years;49186;50561;53303;56369
Quebec;Males;24 years;51620;50349;51132;53845
Quebec;Males;25 years;52322;51975;50890;51523
Quebec;Males;26 years;52998;52510;52618;51489
Quebec;Males;27 years;52820;53607;53292;53300
Quebec;Males;28 years;55417;53886;54529;53992
Quebec;Males;29 years;57779;56391;54766;55248
Quebec;Males;30 years;58110;58493;57282;55537
Quebec;Males;31 years;56317;58749;59392;58053
Quebec;Males;32 years;55599;57370;59598;59990
Quebec;Males;33 years;55427;56495;58141;60233
Quebec;Males;34 years;54434;56114;57165;58669
Quebec;Males;35 years;54569;55210;56698;57693
Quebec;Males;36 years;51614;54910;55770;57157
Quebec;Males;37 years;50718;52211;55379;56107
Quebec;Males;38 years;50824;51142;52619;55750
Quebec;Males;39 years;53319;51423;51519;52868
Quebec;Males;40 years;54114;53657;51764;51776
Quebec;Males;41 years;53398;54167;53907;51943
Quebec;Males;42 years;53503;53707;54383;54040
Quebec;Males;43 years;55744;53899;53891;54547
Quebec;Males;44 years;59153;55934;54100;53968
Quebec;Males;45 years;64303;59220;56059;54085
Quebec;Males;46 years;65468;63724;59297;56030
Quebec;Males;47 years;65904;65061;63758;59249
Quebec;Males;48 years;65080;65587;65039;63671
Quebec;Males;49 years;66519;65070;65570;64969
Quebec;Males;50 years;65666;66497;64972;65481
Quebec;Males;51 years;65236;65718;66365;64752
Quebec;Males;52 years;65287;65380;65562;66114
Quebec;Males;53 years;64095;65403;65193;65351
Quebec;Males;54 years;60900;63913;65191;64930
Quebec;Males;55 years;61047;61286;63665;64896
Quebec;Males;56 years;58637;60818;61014;63321
Quebec;Males;57 years;55430;58484;60550;60705
Quebec;Males;58 years;53930;55417;58199;60204
Quebec;Males;59 years;53308;53963;55085;57829
Quebec;Males;60 years;51474;53169;53616;54688
Quebec;Males;61 years;50782;51458;52780;53192
Quebec;Males;62 years;49181;50562;51024;52303
Quebec;Males;63 years;49011;49219;50084;50529
Quebec;Males;64 years;44656;48500;48729;49551
Quebec;Males;65 years;42211;44433;47930;48149
Quebec;Males;66 years;39510;41717;43893;47330
Quebec;Males;67 years;37505;38979;41138;43282
Quebec;Males;68 years;34408;36919;38378;40498
Quebec;Males;69 years;32705;33872;36290;37745
Quebec;Males;70 years;29255;31873;33284;35654
Quebec;Males;71 years;27869;28821;31235;32605
Quebec;Males;72 years;25803;27173;28146;30501
Quebec;Males;73 years;23757;25199;26495;27449
Quebec;Males;74 years;23131;23276;24531;25796
Quebec;Males;75 years;21975;22358;22617;23833
Quebec;Males;76 years;20518;21108;21612;21859
Quebec;Males;77 years;20499;19792;20351;20828
Quebec;Males;78 years;19661;19534;18993;19531
Quebec;Males;79 years;17816;18599;18650;18131
Quebec;Males;80 years;16676;16917;17652;17693
Quebec;Males;81 years;14678;15599;15956;16639
Quebec;Males;82 years;13362;13737;14595;14916
Quebec;Males;83 years;11694;12364;12774;13559
Quebec;Males;84 years;10474;10746;11417;11775
Quebec;Males;85 years;9059;9388;9826;10422
Quebec;Males;86 years;7483;8033;8535;8923
Quebec;Males;87 years;6283;6576;7199;7640
Quebec;Males;88 years;5360;5513;5854;6399
Quebec;Males;89 years;4217;4540;4850;5141
Quebec;Males;90 years;3064;3494;3953;4214
Quebec;Males;91 years;2284;2567;2972;3355
Quebec;Males;92 years;1642;1802;2100;2425
Quebec;Males;93 years;1279;1331;1470;1709
Quebec;Males;94 years;727;945;1011;1112
Quebec;Males;95 years;550;575;640;680
Quebec;Males;96 years;377;388;378;418
Quebec;Males;97 years;235;257;243;235
Quebec;Males;98 years;152;151;165;155
Quebec;Males;99 years;122;92;100;109
Quebec;Males;100 years and over;118;142;151;162
Quebec;Females;0 years;42992;43192;42852;43176
Quebec;Females;1 year;43191;43190;43487;43119
Quebec;Females;2 years;42581;43444;43625;43843
Quebec;Females;3 years;41049;42912;43819;43981
Quebec;Females;4 years;39446;41257;43280;44184
Quebec;Females;5 years;37498;39788;41629;43629
Quebec;Females;6 years;37709;38041;40119;41925
Quebec;Females;7 years;36988;37982;38301;40380
Quebec;Females;8 years;37587;37293;38205;38531
Quebec;Females;9 years;37264;37734;37510;38390
Quebec;Females;10 years;38452;37531;37931;37673
Quebec;Females;11 years;38526;38505;37708;38100
Quebec;Females;12 years;40373;38857;38702;37873
Quebec;Females;13 years;42583;40665;39042;38858
Quebec;Females;14 years;45456;42841;40816;39208
Quebec;Females;15 years;47007;45656;43102;41084
Quebec;Females;16 years;48129;47377;46007;43390
Quebec;Females;17 years;50068;48784;47732;46319
Quebec;Females;18 years;52113;50824;49461;48464
Quebec;Females;19 years;53787;53524;52021;50801
Quebec;Females;20 years;52965;54594;54376;52933
Quebec;Females;21 years;49742;53788;55241;54998
Quebec;Females;22 years;47539;50536;54350;55826
Quebec;Females;23 years;47735;48608;51085;54924
Quebec;Females;24 years;49391;48751;49241;51645
Quebec;Females;25 years;50166;50010;49469;49895
Quebec;Females;26 years;50970;50718;50668;50152
Quebec;Females;27 years;51214;51684;51571;51392
Quebec;Females;28 years;53020;52211;52561;52456
Quebec;Females;29 years;55566;53800;53101;53314
Quebec;Females;30 years;55501;56116;54635;53892
Quebec;Females;31 years;54403;56320;56936;55377
Quebec;Females;32 years;53600;55240;57110;57599
Quebec;Females;33 years;53833;54459;55973;57754
Quebec;Females;34 years;52040;54190;55100;56590
Quebec;Females;35 years;52006;52969;54748;55596
Quebec;Females;36 years;49688;52511;53446;55175
Quebec;Females;37 years;48159;50336;52952;53858
Quebec;Females;38 years;48668;48821;50736;53359
Quebec;Females;39 years;50872;49235;49203;51040
Quebec;Females;40 years;51435;51036;49558;49479
Quebec;Females;41 years;51227;51595;51350;49791
Quebec;Females;42 years;52027;51409;51833;51495
Quebec;Females;43 years;53838;52346;51647;52001
Quebec;Females;44 years;56759;54089;52494;51774
Quebec;Females;45 years;62398;56937;54197;52573
Quebec;Females;46 years;63139;61844;57051;54204
Quebec;Females;47 years;64490;63041;61918;57068
Quebec;Females;48 years;63204;64131;63102;61940
Quebec;Females;49 years;65618;63433;64147;63093
Quebec;Females;50 years;65276;65225;63399;64082
Quebec;Females;51 years;64876;65202;65149;63281
Quebec;Females;52 years;64203;64916;65094;64983
Quebec;Females;53 years;62967;64047;64785;64903
Quebec;Females;54 years;60002;62726;63907;64558
Quebec;Females;55 years;60567;59841;62557;63703
Quebec;Females;56 years;58229;59884;59671;62342
Quebec;Females;57 years;55277;57720;59703;59457
Quebec;Females;58 years;53602;54975;57515;59487
Quebec;Females;59 years;53361;53378;54769;57276
Quebec;Females;60 years;51839;52817;53188;54545
Quebec;Females;61 years;51562;51517;52574;52954
Quebec;Females;62 years;50173;51185;51269;52322
Quebec;Females;63 years;50183;50072;50894;51011
Quebec;Females;64 years;46262;49660;49786;50597
Quebec;Females;65 years;44221;45905;49309;49433
Quebec;Females;66 years;42101;43758;45545;48928
Quebec;Females;67 years;39945;41709;43370;45161
Quebec;Females;68 years;37468;39486;41287;42952
Quebec;Females;69 years;35594;37181;39089;40852
Quebec;Females;70 years;32896;35170;36795;38672
Quebec;Females;71 years;31176;32661;34718;36326
Quebec;Females;72 years;29552;30851;32233;34264
Quebec;Females;73 years;28023;29258;30424;31803
Quebec;Females;74 years;27788;27775;28797;29930
Quebec;Females;75 years;27021;27286;27265;28267
Quebec;Females;76 years;25941;26440;26768;26739
Quebec;Females;77 years;25993;25390;25842;26161
Quebec;Females;78 years;25859;25337;24717;25145
Quebec;Females;79 years;24887;25043;24592;23986
Quebec;Females;80 years;23723;24095;24224;23765
Quebec;Females;81 years;21937;22938;23192;23306
Quebec;Females;82 years;21017;21169;21983;22211
Quebec;Females;83 years;19300;20077;20141;20901
Quebec;Females;84 years;18130;18397;19018;19064
Quebec;Females;85 years;16805;17000;17290;17859
Quebec;Females;86 years;14955;15609;15874;16130
Quebec;Females;87 years;13340;13789;14429;14656
Quebec;Females;88 years;11751;12158;12622;13191
Quebec;Females;89 years;10103;10578;10962;11362
Quebec;Females;90 years;8260;8901;9417;9744
Quebec;Females;91 years;6539;7269;7799;8240
Quebec;Females;92 years;5321;5627;6336;6790
Quebec;Females;93 years;4321;4479;4814;5410
Quebec;Females;94 years;3064;3491;3694;3961
Quebec;Females;95 years;2397;2514;2675;2821
Quebec;Females;96 years;1757;1898;1918;2034
Quebec;Females;97 years;1322;1342;1401;1410
Quebec;Females;98 years;909;1002;985;1024
Quebec;Females;99 years;581;657;741;725
Quebec;Females;100 years and over;1173;1052;1259;1467
Ontario;Males;0 years;71743;71612;71407;72182
Ontario;Males;1 year;72876;72656;72261;72029
Ontario;Males;2 years;74181;73832;73290;72799
Ontario;Males;3 years;73020;74984;74357;73794
Ontario;Males;4 years;73153;74405;75522;74865
Ontario;Males;5 years;72941;73573;74960;76081
Ontario;Males;6 years;74124;73619;74044;75424
Ontario;Males;7 years;72554;74417;74086;74486
Ontario;Males;8 years;73279;73187;74914;74465
Ontario;Males;9 years;74291;73890;73648;75310
Ontario;Males;10 years;77379;75073;74350;74052
Ontario;Males;11 years;77288;77963;75542;74760
Ontario;Males;12 years;80002;78260;78508;76003
Ontario;Males;13 years;82273;80967;78767;78990
Ontario;Males;14 years;86797;83536;81568;79389
Ontario;Males;15 years;90153;88095;84280;82343
Ontario;Males;16 years;89407;91424;89182;85344
Ontario;Males;17 years;90674;91588;93002;90748
Ontario;Males;18 years;92033;93126;94226;95618
Ontario;Males;19 years;94736;95107;96303;97110
Ontario;Males;20 years;95446;96185;97049;97766
Ontario;Males;21 years;92306;95929;97544;98241
Ontario;Males;22 years;88715;92911;97574;98840
Ontario;Males;23 years;89447;89662;94506;98882
Ontario;Males;24 years;90022;89738;90811;95187
Ontario;Males;25 years;90104;90297;90523;91116
Ontario;Males;26 years;87711;89758;91041;90765
Ontario;Males;27 years;87485;87750;90622;91451
Ontario;Males;28 years;84412;87600;88630;91061
Ontario;Males;29 years;85973;85045;88550;89322
Ontario;Males;30 years;84497;86427;86131;89414
Ontario;Males;31 years;82560;85145;87558;87059
Ontario;Males;32 years;81794;83322;86354;88579
Ontario;Males;33 years;82968;82660;84420;87355
Ontario;Males;34 years;84875;83486;83729;85302
Ontario;Males;35 years;86114;85061;84433;84647
Ontario;Males;36 years;84793;86241;85960;85204
Ontario;Males;37 years;86925;85153;87017;86683
Ontario;Males;38 years;89066;86962;85920;87679
Ontario;Males;39 years;94288;89124;87548;86363
Ontario;Males;40 years;93995;94093;89562;87988
Ontario;Males;41 years;93753;93911;94472;89885
Ontario;Males;42 years;93185;93805;94261;94754
Ontario;Males;43 years;94235;93335;93986;94314
Ontario;Males;44 years;101948;94462;93505;94148
Ontario;Males;45 years;108790;101915;94601;93692
Ontario;Males;46 years;112517;108359;102008;94616
Ontario;Males;47 years;112941;111730;108493;102095
Ontario;Males;48 years;108171;112012;111771;108491
Ontario;Males;49 years;109141;108422;111981;111766
Ontario;Males;50 years;105845;108703;108331;111892
Ontario;Males;51 years;101922;105711;108570;108181
Ontario;Males;52 years;99710;101990;105528;108343
