Province;group_age;sexe;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038
Colombie-Britanique;0-14;homme;2404.1754;2433.61107;2462.99427;2492.325;2569.07376;2598.63714;2628.0936;2657.38968;2686.47192;2715.39378;2744.3691;2773.39788;2802.3732;2831.29506;2860.21692;2888.9784;2917.5795;2946.02022;2974.2471;3002.20668;3029.89896;3057.27048;3084.3747;3111.21162;3137.78124;3164.19048
Colombie-Britanique;15-44;homme;6921.111;7005.85005;7090.43805;7174.875;7395.8184;7480.9251;7565.724;7650.0612;7733.7828;7817.0427;7900.4565;7984.0242;8067.438;8150.6979;8233.9578;8316.756;8399.0925;8480.9673;8562.2265;8642.7162;8722.4364;8801.2332;8879.2605;8956.5183;9033.0066;9109.0332
Colombie-Britanique;45-64;homme;1942.768;1966.5544;1990.2984;2014;2076.0192;2099.9088;2123.712;2147.3856;2170.8864;2194.2576;2217.672;2241.1296;2264.544;2287.9152;2311.2864;2334.528;2357.64;2380.6224;2403.432;2426.0256;2448.4032;2470.5216;2492.424;2514.1104;2535.5808;2556.9216
Colombie-Britanique;65+;homme;339.9844;344.14702;348.30222;352.45;363.30336;367.48404;371.6496;375.79248;379.90512;383.99508;388.0926;392.19768;396.2952;400.38516;404.47512;408.5424;412.587;416.60892;420.6006;424.55448;428.47056;432.34128;436.1742;439.96932;443.72664;447.46128
Atlantique;0-14;femme;458.4604939;461.740452;463.3384022;464.9044218;466.4905768;478.1734172;479.61602;481.0916391;482.4277281;485.5000501;486.7647762;487.9431118;489.045248;490.0738746;491.0083254;491.7718584;492.5515046;493.0268719;493.5213013;493.8088599;494.0331001;494.0504696;494.0718734;493.9245062;493.6134636;493.3035066
Atlantique;15-44;femme;1317.391693;1326.816692;1331.408421;1335.908397;1340.466232;1374.037013;1378.18235;1382.422559;1386.261826;1395.09018;1398.724386;1402.110347;1405.277349;1408.233119;1410.918275;1413.112296;1415.352619;1416.718592;1418.139341;1418.965644;1419.610001;1419.659912;1419.721417;1419.297955;1418.404171;1417.513505
Atlantique;45-64;femme;279.0167394;281.0129054;281.9854098;282.9384814;283.9038073;291.013925;291.8918857;292.78994;293.603077;295.4728767;296.2425826;296.9597117;297.6304662;298.2564832;298.8251852;299.2898675;299.7643562;300.0536624;300.3545696;300.5295764;300.6660478;300.6766188;300.689645;300.5999581;300.4106592;300.2220209
Atlantique;65+;femme;29.82582667;30.03920921;30.14316623;30.24504595;30.34823562;31.10828011;31.20213077;31.29812935;31.3850506;31.58492506;31.66720369;31.74386206;31.81556317;31.88248199;31.94327408;31.99294685;32.04366788;32.07459361;32.10675944;32.125467;32.14005528;32.14118527;32.14257773;32.13299054;32.1127552;32.09259049
Quebec;0-14;femme;4399.955269;4433.891138;4555.046387;4588.932535;4622.433613;4655.549621;4688.280559;4720.626427;4752.477206;4783.722874;4814.473453;4844.453892;4873.719202;4902.049341;4929.444311;4955.904112;4981.373733;5005.853174;5029.342435;5052.006547;5073.845509;5094.914331;5115.433054;5135.346667;5154.8202;5173.853653
Quebec;15-44;femme;14569.6632;14682.03575;15083.21964;15195.42754;15306.36036;15416.01808;15524.40072;15631.50826;15736.97641;15840.44084;15942.26587;16041.54072;16138.44754;16232.25772;16322.97126;16410.58814;16494.92623;16575.98551;16653.76599;16728.81413;16801.12994;16870.89557;16938.83964;17004.78;17069.26311;17132.28898
Quebec;45-64;femme;1452.815419;1464.020659;1504.02475;1515.213573;1526.27525;1537.20978;1548.017166;1558.697405;1569.214172;1579.531138;1589.684631;1599.583832;1609.246906;1618.601198;1627.646707;1636.383433;1644.793214;1652.876048;1660.631936;1668.115369;1675.326347;1682.283034;1689.058084;1695.633333;1702.063273;1708.347904
