13
cardioe,0.415
cancre,-0.243
diabe,0.215
mentae,0.457
lunge,-0.051
quebec,-0.525
ontario,-0.154
prairies,-0.434
bc,-0.511
sex,0.085
age50m,0.007
age50p,0.021
constant,2.659
0.009,
