2010,1317.392,558.0335,59.65165
2012,1317.392,558.0335,59.65165
2014,1329.113,562.9983,60.18237
2016,1338.187,566.8423,60.59328
2018,1376.11,582.9058,62.31041
2020,1384.342,586.393,62.68318
2022,1396.907,591.7155,63.25213
2024,1403.694,594.5902,63.55943
2026,1409.576,597.0817,63.82576
2028,1414.232,599.0542,64.03661
2030,1417.429,600.4082,64.18135
2032,1419.288,601.1956,64.26552
2034,1419.691,601.3662,64.28376
2036,1418.851,601.0106,64.24575
2038,1417.514,600.444,64.18518
2040,1417.514,600.444,64.18518
2042,1417.514,600.444,64.18518
2044,1417.514,600.444,64.18518
2046,1417.514,600.444,64.18518
2048,1417.514,600.444,64.18518
2050,1417.514,600.444,64.18518
