2010,22254.59,10164.73,2772.198
2012,22254.59,10164.73,2772.198
2014,22577.2,10312.08,2812.385
2016,23207.08,10599.77,2890.847
2018,23839.25,10888.51,2969.595
2020,24267.54,11084.14,3022.946
2022,24693.16,11278.54,3075.964
2024,25117.02,11472.13,3128.764
2026,25535.53,11663.29,3180.897
2028,25944.34,11850.01,3231.821
2030,26339.52,12030.51,3281.047
2032,26718.8,12203.74,3328.293
2034,27081.78,12369.53,3373.508
2036,27429.11,12528.18,3416.775
2038,27680.69,12643.08,3448.113
2040,27680.69,12643.08,3448.113
2042,27680.69,12643.08,3448.113
2044,27680.69,12643.08,3448.113
2046,27680.69,12643.08,3448.113
2048,27680.69,12643.08,3448.113
2050,27680.69,12643.08,3448.113
